auteur_joconde,qid_wikidata,label_wikidata,naissance,deces,trouve
Coulentianos Costas  (1918-1995),,,1918.0,1995.0,False
Boulanger Gustave Clarence Rodolphe (1824-1888),,,1824.0,1888.0,False
Sylva Charles Emile De,,,,,False
Wamps Bernard Joseph,,,,,False
David Jacques-Louis (1748-1825),Q83155,Jacques-Louis David,1748.0,1825.0,True
Morlaix Emile,,,,,False
Le Sidaner Henri Eugène Augustin (1862-1939),,,1862.0,1939.0,False
Colas Alphonse (1818-1887),Q2839745,Alphonse Colas,1818.0,1887.0,True
"Imprimeur-Éditeur F. Champenois (exécution, imprimeur, éditeur, lithographe, attribué à);Mucha Alfons (1860-1939) (d'après, dessinateur)",,,,,False
Sadler Fernande (1869-1949) (attribué à),Q55671794,Fernande Sadler,1869.0,1949.0,True
Pierson Albert (-),,,,,False
Bérard Daniel (-),Q104387720,Daniel Bérard,1848.0,,True
Carrier-Belleuse (Albert-Ernest Carrier de Belleuse dit) (1824-1887),,,1824.0,1887.0,False
Bezard Jean-Louis (1799-1881),Q3166638,Jean-Louis Bezard,1953.0,1881.0,True
Largillierre Nicolas de (1656-1746),Q550302,Nicolas de Largillierre,1656.0,1746.0,True
"Lehmann Henri (Karl Ernest Rodolphe Heinrich Lehmann, dit) (1814-1882)",Q240483,Henri Lehmann,1814.0,1882.0,True
Abbéma Louise (1853-1927),Q237911,Louise Abbéma,1853.0,1927.0,True
"Baron Vincent (Vincent Alfred Acarie, dit) (1820-1892)",Q7931664,Vincent Baron,1604.0,1892.0,True
Clairin Georges Jules Victor (1843-1919),,,1843.0,1919.0,False
Foujita Léonard (né Tsugaharu Fujita) (1886-1968),,,1886.0,1968.0,False
"Hélion Jean (Jean Bichier, dit) (1904-1987)",Q728088,Jean Hélion,1904.0,1987.0,True
Dutuit Auguste (1812-1902),Q15983921,Auguste Dutuit,1812.0,1902.0,True
Delaunay Jules Elie (1828-1891),,,1828.0,1891.0,False
Iwill (Marie-Joseph Clavel dit) (1850-1923),,,1850.0,1923.0,False
Vauthier Pierre (1845-1916),Q119265910,Pierre Vauthier,1922.0,1916.0,True
Lebourg Albert Charles (1849-1928),,,1849.0,1928.0,False
Dufresne Charles (1876-1938),Q391182,Charles Dufresne,1876.0,1938.0,True
"Park In-kyung 박인경, 朴仁景 (1926-)",,,1926.0,,False
Ecole crétoise (-),,,,,False
Rouard Georges (-),Q122831433,Georges Rouard,1874.0,,True
Londerseel Jan van (1570-1624);Vinckboons David (1576-1632),Q16859747,Jan van Londerseel,1570.0,1624.0,True
Camuro Adrien (1900-1989),,,1900.0,1989.0,False
Ort Georges,,,,,False
Pilon Veno (1896-1970),Q2268845,Veno Pilon,1896.0,1970.0,True
Neuville Alphonse Marie de (ou Deneuville) (1835-1885),,,1835.0,1885.0,False
Francia Louis (1772-1839),,,1772.0,1839.0,False
Petit Jacques,Q120489025,Jacques Petit,,,True
BAUDET Etienne (1638-1711);SANTI Raffaello (1483-1520) : D'après;DREVET Pierre (1663-1738) : Editeur,,,1638.0,1711.0,False
Robin Maurice,Q110182168,Maurice Robin,,,True
GRANTHOMME Jacques (1550-1609) : Graveur Editeur,,,1550.0,1609.0,False
Bellegambe Jean (1476-16e siècle (2e quart)),,,,,False
Ecalard François Aimé,,,,,False
PETIT Gilles-Edme (1694-1760) : Graveur Editeur,,,1694.0,1760.0,False
AVELINE Pierre-Alexandre (1702-1760) (graveur);Bouchardon Edmé (1698-1762) (d'après);Huquier Gabriel (1695-1772) (éditeur),Q7191957,Pierre-Alexandre Aveline,1702.0,1760.0,True
LARMESSIN Nicolas IV de (1684-1755) : Graveur;CAZES Pierre Jacques (1676-1754) : D'après;DAUMONT Jean-François : Editeur,,,1684.0,1755.0,False
Gibert Jean-Amédée (1869-1945),Q15961685,Jean-Amédée Gibert,1869.0,1945.0,True
SADELER Aegidius II (1570-1629) : Graveur;SADELER Marcus : Editeur,,,1570.0,1629.0,False
MERIAN Matthäus I (1593-1650) : Graveur;TEMPESTA Antonio (1555-1630) : D'après;JOLLAIN : Editeur,,,1593.0,1650.0,False
FINOT Léon,,,,,False
AUDRAN Claude II,,,,,False
BELLY Léon,Q3270722,Léon Belly,1827.0,,True
Boucher François (1703-1770) (atelier),Q180932,François Boucher,1703.0,1770.0,True
BARBAULT Jean,Q3170589,Jean Barbault,1705.0,,True
COIGNET Jules,Q347455,Jules Coignet,1798.0,,True
BELLEL Jean Joseph François,,,,,False
DAUBIGNY Karl,Q1818124,Karl Daubigny,1846.0,,True
Champaigne Philippe de (1602-1674) (atelier),Q314814,Philippe de Champaigne,1602.0,1674.0,True
DAGNAN-BOUVERET Pascal Adolphe Jean,,,,,False
DUBOIS-DRAHONET Alexandre Jean,,,,,False
DUMONT Jacques;DUMONT LE ROMAIN (dit),Q133722245,Q133722245,1954.0,,True
DINET Etienne,,,,,False
DOYEN Gabriel François,,,,,False
GIRODET DE ROUCY-TRIOSON Anne Louis (attribué);GIRODET-TRIOSON (dit),,,,,False
LE BARBIER Jean Jacques François;LE BARBIER l'Aîné (dit),,,,,False
HUET Jean-Baptiste,Q2221472,Jean-Baptiste Huet,1745.0,,True
HERVIER Adolphe,Q18507690,Adolphe Hervier,1818.0,,True
LENEPVEU Jules Eugène,,,,,False
HEILBUTH Ferdinand,Q63527,Ferdinand Heilbuth,1826.0,,True
JACQUE Charles,Q125409,Charles Jacque,1813.0,,True
LEFEBVRE Jules Joseph,,,,,False
INGRES Jean Auguste Dominique (atelier),,,,,False
LECOMTE DU NOUY Jean Jules Antoine,,,,,False
MATHEY Paul,Q131734030,Paul Mathey,1851.0,,True
GRUN Jules Alexandre,,,,,False
MONSIAUX Nicolas André,,,,,False
PERRONNEAU Jean-Baptiste,Q2518370,Jean-Baptiste Perronneau,1715.0,,True
PERRIER François;Le Bourguignon (dit),Q121297895,François Perrier,1645.0,,True
RICHOMME Jules,Q4395029,Jules Richomme,1818.0,,True
VALENTIN;BOULOGNE Valentin de;LE VALENTIN (dit),,,,,False
VALLAYER-COSTER Anne,Q468772,Anne Vallayer-Coster,1744.0,,True
SIGALON Xavier,Q3570799,Xavier Sigalon,1787.0,,True
VIGNON Claude François,,,,,False
ROLAND DE LA PORTE Henri Horace,,,,,False
VARIN Quentin,Q658511,Quentin Varin,1570.0,,True
YARZ Edmond,Q38154885,Edmond Yarz,1845.0,,True
HUYSMANS Cornélis;HUYSMANS DE MALINES (dit),,,,,False
CRAESBEECK Joos Van,,,,,False
Beaumont Hugues de (1874-1947),Q15461868,Hugues de Beaumont,1874.0,1947.0,True
NAVEZ François Joseph,,,,,False
DAEL Jan Frans Van,,,,,False
MIERIS Willem Van,,,,,False
NOOMS Reinier;ZEEMAN (dit),Q1936604,Reinier Nooms,1623.0,,True
BLOEMAERT Abraham,Q329811,Abraham Bloemaert,1565.0,,True
GREBBER Pieter Fransz de,,,,,False
LINGELBACH Johannes,Q629856,Johannes Lingelbach,1622.0,,True
FLINCK Govaert,,,,,False
HALS Frans,Q167654,Frans Hals,1582.0,,True
ODIER Edouard Alexandre,,,,,False
"LECOMTE Hippolyte;LE CONTE Sauveur (d'après);SAUVEUR LE CONTE (d'après, dit)",Q3100107,Hippolyte Lecomte,1781.0,,True
"JOUY Joseph Nicolas;LE CONTE Sauveur (d'après);SAUVEUR LE CONTE (d'après, dit)",,,,,False
LEFEBVRE Claude,Q1096879,Claude Lefebvre,1931.0,,True
Bin Émile-Jean-Baptiste-Philippe (1825-1897),,,1825.0,1897.0,False
BREE Mathieu Ignace Van,,,,,False
"LAFAYE Prosper;LE CONTE Sauveur (d'après);SAUVEUR LE CONTE (d'après, dit)",Q2113338,Prosper Lafaye,1806.0,,True
RIGAUD Hyacinthe (atelier),Q49898,Hyacinthe Rigaud,1659.0,,True
VAUCHELET Théophile Auguste,,,,,False
ADAM Victor,Q140780893,Victor Adam,1848.0,,True
MIGNARD Pierre (attribué),Q360010,Pierre Mignard,1612.0,,True
ANSIAUX Antoine,Q2463566,Jean-Joseph Ansiaux,1764.0,,True
GREGORIUS Albert,Q2831218,Albert Grégorius,1774.0,,True
"BELIN Jean-Baptiste le Fils;BLAIN DE FONTENAY Jean-Baptiste le Fils (? , dit);BELIN Jean-Baptiste le Père;BLAIN DE FONTENAY Jean-Baptiste le Père (? , dit)",,,,,False
CALLANDE DE CHAMPMARTIN Emile,,,,,False
LANSAC Emile de,,,,,False
Houssaye de Léoménil Laure (1806-1866),Q63485377,Laure Houssaye de Léoménil,1806.0,1866.0,True
LEFEBVRE Charles,Q96437570,Charles Lefebvre,1867.0,,True
Bruyère Élise (1776-1842),Q8078230,Élise Bruyère,1776.0,1842.0,True
Brune-Pagès Aimée (1803-1866),Q16724493,Aimée Brune-Pagès,1803.0,1866.0,True
BOUYS André,Q4759840,André Bouys,1656.0,,True
RUISDAEL Jacob Isaacksz Van,,,,,False
VELDE Adriaen Van de,,,,,False
PALAMEDESZ. Anthonie;STEVAERTS (dit),Q245947,Antonie Palamedesz,1602.0,,True
SAFTLEVEN Herman II,,,,,False
STEEN Jan,Q205863,Jan Steen,1626.0,,True
SWANEVELT Herman Van,Q875164,Herman Van Swanevelt,1603.0,,True
RAVESTEYN Jan Anthonisz van,,,,,False
WALLAERT Pierre Joseph,,,,,False
Téniers David (1582-1649),,,1582.0,1649.0,False
SEGHERS Gerard,Q951884,Gerard Seghers,1591.0,,True
LANFRANCO Giovanni,Q447730,Giovanni Lanfranco,1582.0,,True
DUPRE Julien,,,,,False
LARGILLIERE Nicolas de (attribué),,,,,False
LEFEUVRE Arsène M,,,,,False
MOREAU DE TOURS Georges,,,,,False
DE COCK César,Q126086733,César De Cock,,,True
Courbet Gustave (1819-1877) (attribué à),Q34618,Gustave Courbet,1819.0,1877.0,True
LELEUX Adolphe Pierre,,,,,False
LEVY Henri Léopold,,,,,False
SARGENT John Singer,,,,,False
DUPRE François Xavier,,,,,False
BOULOGNE Valentin de;VALENTIN (dit),Q1337275,Valentin de Boulogne,1591.0,,True
LESTANG-PARADE Léon de;ALAUX Jean;LE ROMAIN (dit),,,,,False
BIAGIO d'Antonio,,,,,False
NERI DI BICCI,,,,,False
COGNIET Léon (attribué),Q544646,Léon Cogniet,1794.0,,True
Jacquemart Nélie (1841-1912),Q451131,Nélie Jacquemart,1841.0,1912.0,True
BARBERIIS Eugène de,Q3060228,Eugène de Barberiis,1851.0,,True
CASILE Alfred,Q2835005,Alfred Casile,1848.0,,True
Guibert Henri (19..-?),Q106425132,Henri Guibert,1883.0,,True
MOUTTE Alphonse,Q2839919,Alphonse Moutte,1840.0,,True
GIRIEUD Pierre,Q2093494,Pierre Girieud,1876.0,,True
LERAY Prudent Louis,,,,,False
Quellinus Erasmus (1607-1678),,,1607.0,1678.0,False
VIGER DU VIGNEAU Jean Louis Victor;VIGER Hector (dit),,,,,False
SUCHET Joseph François,,,,,False
PIPPI Giulio;Giulio ROMANO (dit),,,,,False
FLORIS Frans;FLORIS DE VRIENDT (dit),Q132733460,Frans Floris,,,True
MIGNON Abraham,Q330400,Abraham Mignon,1640.0,,True
BARENDSZ Dirck,Q2183916,Dirck Barendsz,1534.0,,True
VENNE Jan Van de,,,,,False
LAMBRECHTS Jan Baptist,,,,,False
AUBRY Emile,,,,,False
ANQUETIN Louis,Q287524,Louis Anquetin,1861.0,,True
SABATTE Fernand,,,,,False
Pissarro Camille (1830-1903),Q134741,Camille Pissarro,1830.0,1903.0,True
GRIVEAU Georges,Q94310910,Georges Griveau,1863.0,,True
THURNER Gabriel,,,,,False
RANSON Paul,Q585067,Paul-Élie Ranson,1861.0,,True
SICKERT Walter Richard,,,,,False
MAXENCE Edgard,Q399091,Edgard Maxence,1871.0,,True
STOSKOPF Gustave Jacques,,,,,False
LAPARRA William,Q3514997,William Laparra,1873.0,,True
Blin Francis (1827-1866) ,Q3081312,Francis Blin,1827.0,1866.0,True
DUVEAU Louis,Q6687071,Louis Duveau,1818.0,,True
CHIGOT Eugène,Q15407022,Eugène Chigot,1860.0,,True
WINTER Pharaon de,Q3378108,Pharaon de Winter,1849.0,,True
LOBBEDEZ Charles,,,,,False
LELEUX Armand,Q2861902,Armand Leleux,1818.0,,True
DAMOYE Pierre Emmanuel,,,,,False
BERGERET Denis Pierre,,,,,False
CARRACCI Ludovico,Q380553,Lodovico Carracci,1555.0,,True
Sauvage Georges (1845-1918),Q95483914,Georges Sauvage,1845.0,1918.0,True
BOILLY Louis Léopold (attribué),,,,,False
Debon Hippolyte François (1807-1872),,,1807.0,1872.0,False
SALLES Robert,Q137603342,Robert Salles,,,True
Rame Jules (1855-1927),,,1855.0,1927.0,False
Téniers David (1610-1690) (d'après),,,1610.0,1690.0,False
Constable John (1776-1837),Q159297,John Constable,1776.0,1837.0,True
Le Nourrichel Constant Édouard (1803-1869),,,1803.0,1869.0,False
PIAUBERT Jean,Q321352,Jean Piaubert,1900.0,,True
GOULINAT Jean Gabriel,,,,,False
GALARD Gustave de,Q3121360,Gustave de Galard,1779.0,,True
CARDUCHO Vicente,,,,,False
Vien Joseph-Marie (1716-1809),Q647934,Joseph-Marie Vien,1716.0,1809.0,True
Vignon Claude (1593-1670),Q591684,Claude Vignon,1593.0,1670.0,True
Valdés Leal Juan de (1622-1690),Q518898,Juan de Valdés Leal,1622.0,1690.0,True
Guiaud Jacques (1810-1876),Q15970262,Jacques Guiaud,1810.0,1876.0,True
CARRACCI Annibale (atelier),Q7824,Annibale Carracci,1560.0,,True
GIOVANNI DI PIETRO;SPAGNA LO (dit),,,,,False
BOHN German von,Q1514066,German von Bohn,1812.0,,True
DUDLEY Joseph;Downing Joe (1925-2007) (dit),Q130273137,Joseph Dudley,,,True
Turchi Alessandro (1578-1649),Q507279,Alessandro Turchi,1578.0,1649.0,True
KARPELES Georges;KARS Georges (dit),,,,,False
BERTIN Alexandre,Q2833449,Alexandre Bertin,1853.0,,True
ERNST Max,Q154842,Max Ernst,1891.0,,True
GREUZE Jean-Baptiste (attribué),Q347139,Jean-Baptiste Greuze,1725.0,,True
GIRAUD Emile,Q98748547,Emile Giraud,1850.0,,True
DIETERLE Pierre Georges,,,,,False
BREAUTE Albert,,,,,False
Cavé Marie-Élisabeth (1810?-1882),Q3275249,Marie-Élisabeth Blavot,1806.0,,True
Gauthier Dominique (1953-....),Q1238210,Dominique Gauthier,1967.0,,True
THAULOW Frits,Q445891,Frits Thaulow,1847.0,,True
Bashkirtseff Marie (1858-1884),Q255253,Marie Bashkirtseff,1860.0,1884.0,True
LOUVRIER Maurice,Q3301089,Maurice Louvrier,1878.0,,True
Collomb Paul (1921-2010),Q3370916,Paul Collomb,1921.0,2010.0,True
REBOUSSIN Roger,Q20089756,Roger Reboussin,1881.0,,True
VIGNET Henri,Q15970259,Henri Vignet,1857.0,,True
PETIT Loïc,Q50920710,Loïc Petit,1896.0,,True
Leroy Sacha (1909-1972),Q126922481,Sacha Leroy,1909.0,1972.0,True
SMETANA Léopold,,,,,False
MONGINOT Charles,Q2959835,Charles Monginot,1825.0,,True
MELOTTE Edouard Auguste,,,,,False
CABASSON Guillaume Alphonse,,,,,False
HAUVILLE-BAUDOUIN Charles,,,,,False
BUREL Henry Armand Emile,,,,,False
CADEL Eugène,Q18927757,Eugène Cadel,1862.0,,True
RICHARD Théodore,Q640709,Théodore Richard,1782.0,,True
JOLYET Philippe,Q22009346,Philippe Jolyet,1832.0,,True
BUTAY Jean-Baptiste,Q109294646,Jean-Baptiste Butay,1760.0,,True
LE TESSIER Joseph,Q52150429,Joseph Letessier,1867.0,,True
LA LYRE Adolphe;LALIRE Adolphe (dit),,,,,False
MICHAU Théobald,Q83556,Théobald Michau,1676.0,,True
MIAILHE Mireille,Q3316000,Mireille Miailhe,1921.0,,True
Voillemot Charles (1822-1893),,,1822.0,1893.0,False
Martinet Lucien (1900-1992),Q1989131,Lucien Martinet,1879.0,1992.0,True
JEANNIOT Pierre Alexandre,,,,,False
CLEVE Joos Van,,,,,False
Deruet Claude (1588?-1660),Q355563,Claude Deruet,1588.0,,True
LECOMTE Félix,Q3092512,Félix Lecomte,1737.0,,True
CARLI Auguste,Q2871103,Auguste Carli,1868.0,,True
JALEY Jean Louis Nicolas,,,,,False
Rodin Auguste (1840-1917);MONTAGUTELLI (fondeur),Q30755,Auguste Rodin,1840.0,1917.0,True
Gimond Marcel (1894-1961),Q3288993,Marcel Gimond,1894.0,1961.0,True
Abbéma Louise (1858-1927),Q237911,Louise Abbéma,1853.0,1927.0,True
SICARD François,Q106490373,François Sicard,1787.0,,True
CARLES Jean Antonin,,,,,False
BLANCHARD Jules,Q321413,Jules Blanchard,1832.0,,True
VERMARE André César,,,,,False
CHAMBARD Louis Léopold,,,,,False
PERRAULT-HARRY Emile,,,,,False
HIOLLE Ernest Eugène,,,,,False
FAGEL Léon,Q3270951,Léon Fagel,1851.0,,True
GODET Henri,Q20168236,Henri Godet,1863.0,,True
PERRAUD Jean Joseph,,,,,False
GARDET Georges,Q3102760,Georges Gardet,1863.0,,True
CORTOT Jean Pierre,,,,,False
CACHEUX François,Q3084151,François Cacheux,1923.0,,True
GERARD Antoine François,,,,,False
CHRETIEN Eugène Ernest,,,,,False
CALOT Emile Emmanuel,,,,,False
GARGALLO Pablo,,,,,False
MULLER Louis,Q125211731,Louis Muller,,,True
WLERICK Robert;MEYNIAL René (céramiste),,,,,False
BOURGOIN Eugène,,,,,False
DUPATY Louis Marie,,,,,False
MOREAU Auguste,Q2871324,Auguste Moreau,1834.0,,True
PREVOT Edmond,,,,,False
QUINTON Eugène,Q22249149,Eugène Quinton,1853.0,,True
CORBIN Raymond,Q3420771,Raymond Corbin,1907.0,,True
CHARRON Alfred Joseph,,,,,False
BARRE Jean-Baptiste,,,,,False
LAPAYRE Eugène,,,,,False
RUXTHIEL Henri Joseph,,,,,False
TOUSSAINT Ernest,Q5393909,Ernest Toussaint,1908.0,,True
Rodin Auguste (1840-1917);NOGUES Robert (mouleur),Q30755,Auguste Rodin,1840.0,1917.0,True
Landon Charles-Paul (1760-1826),,,1760.0,1826.0,False
ROUSSEL Hippolyte Paul,,,,,False
JONCHERY Emile,,,,,False
GAMBIER Dominique,Q3035175,Dominique Gambier,1947.0,,True
GERNEZ Paul Elie,,,,,False
SAIN Edouard Alexandre,,,,,False
Charmy Émilie (1878-1974),Q3588843,Émilie Charmy,1878.0,1974.0,True
PRIEUR Barthélemy;LEFORT Martin,Q2885997,Barthélemy Prieur,1536.0,,True
MURGEY François Théophile (attribué),,,,,False
GAYRARD Raymond;GAYRARD Père (dit),Q15969951,Raymond Gayrard,1777.0,,True
DANTAN Jean Pierre;DANTAN le Jeune (dit),,,,,False
Marcellin Jean-Esprit (1821-1884),,,1821.0,1884.0,False
PORION Charles,Q18711197,Charles Porion,1814.0,,True
FRERE Charles Théodore,,,,,False
NAVLET Joseph,Q3185404,Joseph Navlet,1821.0,,True
Magnin Jeanne (1855-1937),Q63107250,Jeanne Magnin,1855.0,1937.0,True
Martin Adèle (1801-1875),Q110894847,Adèle Martin,1801.0,1875.0,True
Fragonard Théophile (1806-1876),Q52149576,Théophile Fragonard,1806.0,1876.0,True
CORNEILLE Jean-Baptiste,Q3163977,Jean-Baptiste Corneille,1649.0,,True
WEN ZHENGMING,,,,,False
DUGHET Gaspard (manière de),Q741375,Gaspard Dughet,1613.0,,True
LE BAULT Claude,,,,,False
Gay Jean-Maurice (1899-1961),,,1899.0,1961.0,False
BOEL Pieter,Q2241666,Pieter Boel,1622.0,,True
Bozzolini Silvano (1911-1998),Q16039790,Silvano Bozzolini,1911.0,1998.0,True
LAVIEILLE Eugène,Q3059972,Eugène Lavieille,1820.0,,True
Mušič Zoran (1909-2005),Q220545,Zoran Mušič,1909.0,2005.0,True
ANDRIEU Lucien,Q52156163,Lucien Andrieu,1875.0,,True
GEORGES Claude,Q1096773,Claude Georges,1929.0,,True
Avril Armand (1926-....),Q2861758,Armand Avril,1926.0,,True
Lussigny Guy de (1929-2001),Q3122269,Guy de Lussigny,1929.0,2001.0,True
LECOURT Raimond Louis Vincent,,,,,False
GUILLOT Théodore,,,,,False
MOREAU Pierre Emmanuel,,,,,False
Clementi Maria Giovanna (1690-1761),,,1690.0,1761.0,False
CAMUSET Raoul,,,,,False
HAQUETTE Georges Jean Marie,,,,,False
MOENCH Charles,Q18574399,Charles-Victoire-Frédéric Moench,1784.0,,True
Luce Maximilien (Peintre),Q545293,Maximilien Luce,1858.0,,True
Boulan Jean-Marie (1878-1962),,,1878.0,1962.0,False
Loiseau Gustave (Peintre),Q2183848,Gustave Loiseau,1865.0,,True
Regnault Jean-Baptiste (1754-1829),Q453485,Jean-Baptiste Regnault,1754.0,1829.0,True
Corpus Paul Fernand (1893-1980),,,1893.0,1980.0,False
DUBUFFET Jean,Q170076,Jean Dubuffet,1901.0,,True
AYATS Georges,Q94404052,Georges Ayats,1938.0,,True
FENOSA Appel les,,,,,False
GAUTHIER Dominique,Q1238210,Dominique Gauthier,1967.0,,True
FOURQUET Marc,Q133761197,Q133761197,1953.0,,True
BRILLAUD François Eugène,,,,,False
DEZAUNAY Emile,,,,,False
JUSTE D'EGMONT (dit);VAN EGMONT Justus (attribué à),,,,,False
LAMOUR Gilles,Q130714404,Gilles Lamour,1939.0,,True
LEMORDANT Jean-Julien,Q3166574,Jean-Julien Lemordant,1878.0,,True
PEIRE Luc,Q2698552,Luc Peire,1916.0,,True
RICHETIN René,Q131756625,René Richetin,1923.0,,True
THOMAS Félix,Q18337962,Félix Thomas,1853.0,,True
SUC (dit);SUC Etienne Edouard,,,,,False
Téniers David (1610-1690) (genre de),,,1610.0,1690.0,False
VERON Alexandre René,,,,,False
ROCHE Pierre,Q1766428,Pierre Roche,1855.0,,True
Valenciennes Pierre Henri de (1750-1819),,,1750.0,1819.0,False
MASSE Claude,Q2977790,Claude Masse,1948.0,,True
Rudel Jean-Aristide (1884-1959),,,1884.0,1959.0,False
MEZZAPELLE François,Q134347917,François Mezzapelle,1955.0,,True
Poli Jacques (1938-2002),Q3159792,Jacques Poli,1938.0,2002.0,True
FOYATIER Denis,Q3022699,Denis Foyatier,1793.0,,True
Collot Marie Anne (1748-1821),,,1748.0,1821.0,False
Aillaud Gilles (1928-2005),Q1366342,Gilles Aillaud,1928.0,2005.0,True
CAMMISSAR Auguste,Q2871101,Auguste Cammissar,1873.0,,True
DIEFFENBACH Anton,Q588840,Anton Dieffenbach,1831.0,,True
Gontcharova Nathalie (1881-1962),Q232391,Nathalie Gontcharova,1881.0,1962.0,True
HIRTZ Camille,Q99672013,Camile Hirtz,1917.0,,True
HUBRECHT Martin,Q15972028,Martin Hubrecht,1892.0,,True
KARS Georges (dit);KARPELES Georges (patronyme),Q1508974,Q1508974,1880.0,,True
STOLL Emile,,,,,False
STOLL Philippe,,,,,False
Cassinari Bruno (1912-1992),Q993130,Bruno Cassinari,1912.0,1992.0,True
PRAXITELE (d'après),,,,,False
B B J,,,,,False
FAUCHERRE Jean,Q112763073,Jean Faucherre,1916.0,,True
Dodeigne Eugène (1923-2015),Q321394,Eugène Dodeigne,1923.0,2015.0,True
KERMADEC Eugène Nestor de,,,,,False
LESAGE Augustin,Q2871613,Augustin Lesage,1876.0,,True
MCCOLLUM Allan,,,,,False
TOURLONIAS Jean,Q3174827,Jean Tourlonias,1937.0,,True
Cogniet Léon (1794-1880),Q544646,Léon Cogniet,1794.0,1880.0,True
Fourtina Anny (1912-1967),Q22010339,Anny Fourtina,1912.0,1967.0,True
VUEZ Arnould de (peintre),Q781910,Arnould de Vuez,1644.0,,True
PILLEMENT Jean (peintre),Q374713,Jean Pillement,1728.0,,True
Lacazette Amélie (1850-1895),Q134267966,Q134267966,1850.0,1895.0,True
Boucher François (1703-1770) (dessinateur),Q180932,François Boucher,1703.0,1770.0,True
GUYOT-GUILLAIN Félix,,,,,False
VILLON Jacques,Q452254,Jacques Villon,1875.0,,True
Tiger Félicie (1820-1890),Q3092279,Félicie Tiger,1820.0,1890.0,True
MONTEZIN Pierre Eugène,,,,,False
Ribot Théodule (1823-1891),Q463441,Théodule Ribot,1839.0,1891.0,True
MADRAZO Y KUNTZ Federico de,,,,,False
HERNANDEZ Mateo,,,,,False
ATTIRET Claude François,,,,,False
GOYA Y LUCIENTES Francisco de (peintre),,,,,False
Maillaud Fernand (1862-1948) (peintre),Q3069252,Fernand Maillaud,1862.0,1948.0,True
Lenepveu Jules Eugène (1819-1898);Giotto (1266?-1337) (d'après),,,1819.0,1898.0,False
Froment Simone (1904-1986),Q106673118,Simone Froment,1904.0,1986.0,True
Baudry Paul (1828-1886);Raphaël (1483-1520) (d'après),Q911575,Paul Baudry,1828.0,1886.0,True
PERRASSIN Alexis (peintre),,,,,False
Kisling Moïse (1891-1953),Q281812,Moïse Kisling,1891.0,1953.0,True
LABOUREAU,,,,,False
manufacture de Sèvres;CHAPLAIN Jules Clément (auteur du modèle),,,,,False
CARRIER-BELLEUSE Albert Ernest (sculpteur),,,,,False
CAZES le Fils,,,,,False
GUIGNET Jean-Baptiste (peintre),Q47537414,Jean-Baptiste Guignet,1810.0,,True
Barye Antoine-Louis (1795-1875) (sculpteur);Barbédienne Ferdinand (1810-1892) (fondeur),Q451489,Antoine-Louis Barye,1795.0,1875.0,True
MEGRET Louis Nicolas Adolphe,,,,,False
MILLET DE MARCILLY Edouard François,,,,,False
CASTAING René Marie,,,,,False
Ghilionda-Lamouzele Yvonne (1903-1984),,,1903.0,1984.0,False
Deslignères André (1880-1968),Q2847640,André Deslignères,1880.0,1968.0,True
DENDEVILLE Raymond,Q3420804,Raymond Dendeville,1901.0,,True
BUDD David,Q21993966,Q21993966,1926.0,,True
Frydman Monique (1943-....),Q3320841,Monique Frydman,1943.0,,True
GRAY Victor,Q28709866,Victor Gray,1918.0,,True
NANNEY Chuck,Q27062473,Chuck Nanney,1958.0,,True
Cont Alberto (1956-....),Q133583981,Q133583981,1956.0,,True
COULET Daniel,Q131223324,Daniel Coulet,1954.0,,True
Feyen-Perrin François-Nicolas-Augustin (1826-1888),,,1826.0,1888.0,False
JONGKIND Johann-Barthold (peintre),,,,,False
Bompard Maurice (1857-1936),Q3300449,Maurice Bompard,1857.0,1936.0,True
"GISLEBERTUS (sculpteur, atelier)",,,,,False
"Le Moiturier Antoine (1425?-1493?) (sculpteur, attribué à)",Q2667925,Antoine Le Moiturier,1425.0,,True
CHAUMONT Suzanne,,,,,False
MONARD Louis de (sculpteur),Q3263528,Louis de Monard,1873.0,,True
COROT Jean-Baptiste Camille (peintre),,,,,False
PÉRIN-SALBREUX Lié Louis (peintre),,,,,False
Watteau Antoine (1684-1721),Q183221,Antoine Watteau,1684.0,1721.0,True
Chodowiecki Daniel (1726-1801),Q696720,Daniel Chodowiecki,1726.0,1801.0,True
DUPRÉ Jules (peintre),Q959212,Jules Dupré,1811.0,,True
COTTET Charles (peintre),Q1574250,Charles Cottet,1863.0,,True
Weirotter Franz Edmund (1733-1771),,,1733.0,1771.0,False
LOISEAU Gustave (peintre),Q2183848,Gustave Loiseau,1865.0,,True
KLEY Louis,Q21030300,Louis Kley,1833.0,,True
"PAZZI Pietro Antonio (graveur);CAMPIGLIA Giovanni Domenico (graveur, dessinateur)",,,,,False
SACHOT Octave (auteur),Q113906652,Octave Sachot,1824.0,,True
"CIPRIANI Giovanni Battista (graveur);MAZOIS François (archéologue, architecte)",,,,,False
Bauban-Binet Marguerite (1873-après 1945),,,,,False
CHALLARD Achille Auguste (dessinateur),,,,,False
HORSIN P (peintre),,,,,False
HORSIN P (auteur),,,,,False
FREMIET Emmanuel (auteur),,,,,False
Bartholdi Auguste (1834-1904),Q223274,Auguste Bartholdi,1834.0,1904.0,True
Sarson Léonard (actif 1550- u2026),,,,,False
DANTAN Edouard Joseph (peintre),,,,,False
